section,page,name_en,name_vi,bmad_gap,crm_priority,bmad_phase,cached
10.1,217,Acceptance and Evaluation Criteria,Tiêu chí chấp nhận và đánh giá,covered,high,spec,no
10.2,220,Backlog Management,Quản lý backlog,,high,sprint-planning,no
10.3,223,Balanced Scorecard,Thẻ điểm cân bằng,,low,brief,no
10.4,226,Benchmarking and Market Analysis,Đối sánh và phân tích thị trường,,medium,brief,yes
10.5,227,Brainstorming,Động não,covered,medium,brief,yes
10.6,230,Business Capability Analysis,Phân tích năng lực nghiệp vụ,,low,brief,no
10.7,234,Business Cases,Luận chứng kinh doanh,,medium,brief,no
10.8,236,Business Model Canvas,Khung mô hình kinh doanh,,medium,brief,no
10.9,240,Business Rules Analysis,Phân tích quy tắc nghiệp vụ,absent,high,spec,yes
10.10,243,Collaborative Games,Trò chơi cộng tác,,low,brief,no
10.11,245,Concept Modelling,Mô hình hóa khái niệm,,high,prd,yes
10.12,247,Data Dictionary,Từ điển dữ liệu,,medium,architecture,yes
10.13,250,Data Flow Diagrams,Sơ đồ luồng dữ liệu,,medium,architecture,no
10.14,253,Data Mining,Khai thác dữ liệu,,low,brief,no
10.15,256,Data Modelling,Mô hình hóa dữ liệu,covered,high,architecture,yes
10.16,261,Decision Analysis,Phân tích quyết định,,medium,architecture,yes
10.17,265,Decision Modelling,Mô hình hóa quyết định,,medium,spec,no
10.18,269,Document Analysis,Phân tích tài liệu,absent,high,brief,no
10.19,271,Estimation,Ước lượng,,medium,sprint-planning,no
10.20,274,Financial Analysis,Phân tích tài chính,,low,brief,no
10.21,279,Focus Groups,Nhóm tập trung,absent,medium,brief,no
10.22,283,Functional Decomposition,Phân rã chức năng,,high,epics-stories,no
10.23,286,Glossary,Bảng thuật ngữ,thin,medium,prd,no
10.24,287,Interface Analysis,Phân tích giao diện,,high,architecture,yes
10.25,290,Interviews,Phỏng vấn,unmeasurable,high,brief,yes
10.26,294,Item Tracking,Theo dõi vấn đề,,medium,sprint-planning,no
10.27,296,Lessons Learned,Bài học kinh nghiệm,covered,low,review,no
10.28,297,Metrics and Key Performance Indicators (KPIs),Chỉ số và KPI,,medium,prd,no
10.29,299,Mind Mapping,Sơ đồ tư duy,,low,brief,no
10.30,302,Non-Functional Requirements Analysis,Phân tích yêu cầu phi chức năng,thin,high,prd,yes
10.31,305,Observation,Quan sát,unmeasurable,low,brief,no
10.32,308,Organizational Modelling,Mô hình hóa tổ chức,,low,brief,no
10.33,311,Prioritization,Ưu tiên hóa,covered,high,prd,yes
10.34,314,Process Analysis,Phân tích quy trình,,medium,prd,no
10.35,318,Process Modelling,Mô hình hóa quy trình,absent,high,prd,yes
10.36,323,Prototyping,Tạo mẫu thử,,medium,ux,no
10.37,326,Reviews,Rà soát,unmeasurable,medium,review,no
10.38,329,Risk Analysis and Management,Phân tích và quản lý rủi ro,,medium,architecture,no
10.39,333,Roles and Permissions Matrix,Ma trận vai trò và quyền,absent,high,spec,yes
10.40,335,Root Cause Analysis,Phân tích nguyên nhân gốc,,low,review,no
10.41,338,Scope Modelling,Mô hình hóa phạm vi,,high,brief,no
10.42,341,Sequence Diagrams,Sơ đồ tuần tự,absent,medium,architecture,yes
10.43,344,"Stakeholder List, Map, or Personas","Danh sách, bản đồ, persona stakeholder",covered,medium,ux,no
10.44,348,State Modelling,Mô hình hóa trạng thái,absent,high,spec,yes
10.45,350,Survey or Questionnaire,Khảo sát hoặc bảng câu hỏi,unmeasurable,low,brief,no
10.46,353,SWOT Analysis,Phân tích SWOT,,medium,brief,no
10.47,356,Use Cases and Scenarios,Use case và tình huống,,medium,spec,no
10.48,359,User Stories,User story,covered,high,epics-stories,no
10.49,361,Vendor Assessment,Đánh giá nhà cung cấp,,low,architecture,yes
10.50,363,Workshops,Hội thảo,absent,medium,brief,yes
